2025-09-28 17:44:39.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:44:41.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:44:43.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:44:45.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:44:47.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 500, Limit: 100, Categories: [5070]
2025-09-28 17:44:49.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 600, Limit: 100, Categories: [5070]
2025-09-28 17:44:51.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 700, Limit: 100, Categories: [5070]
2025-09-28 17:44:53.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 800, Limit: 100, Categories: [5070]
2025-09-28 17:44:55.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 10], Offset: 900, Limit: 100, Categories: [5070]
2025-09-28 17:44:57.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E10], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:11.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [11] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:13.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [11] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:45:15.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [11] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:45:17.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E11], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:19.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 11], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:21.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 11], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:45:24.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 11], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:45:26.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 11], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:45:28.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E11], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:32.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:34.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:45:36.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:45:38.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:45:40.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:45:42.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E12], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:44.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 12], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:46.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 12], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:45:48.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 12], Offset: 200, Limit: 100, Categories: [5070]
