2025-10-11 11:25:57.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 600, Limit: 100, Categories: [5070]
2025-10-11 11:25:59.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 700, Limit: 100, Categories: [5070]
2025-10-11 11:26:01.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 800, Limit: 100, Categories: [5070]
2025-10-11 11:26:03.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E17], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:11.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [18] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:11.5|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [18] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:13.5|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E18], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:13.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [18] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-10-11 11:26:15.5|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [BLEACH 18], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:15.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [18] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-10-11 11:26:17.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E18], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:17.5|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [BLEACH] for Season / Episode:[S01E18], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:19.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 18], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:21.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 18], Offset: 100, Limit: 100, Categories: [5070]
2025-10-11 11:26:23.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 18], Offset: 200, Limit: 100, Categories: [5070]
2025-10-11 11:26:25.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E18], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:28.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [19] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:28.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [19] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:30.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [19] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-10-11 11:26:30.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E19], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:32.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [19] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-10-11 11:26:32.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [BLEACH 19], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:34.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E19], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:34.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [BLEACH] for Season / Episode:[S01E19], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:36.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 19], Offset: 0, Limit: 100, Categories: [5070]
2025-10-11 11:26:38.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 19], Offset: 100, Limit: 100, Categories: [5070]
2025-10-11 11:26:40.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 19], Offset: 200, Limit: 100, Categories: [5070]
2025-10-11 11:26:42.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E19], Offset: 0, Limit: 100, Categories: [5070]
