2025-11-06 09:58:13.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 11], Offset: 300, Limit: 100, Categories: [5070]
2025-11-06 09:58:15.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia S6 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:17.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia] for Season / Episode:[S05E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:19.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia S6] for Season / Episode:[S06E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:21.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia S5 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:23.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku No Hero Academia 2022 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:25.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia S5] for Season / Episode:[S05E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:27.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku No Hero Academia 2022] for Season / Episode:[S06E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:29.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku No Hero Academia 2021 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:31.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 6th Season 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:33.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku No Hero Academia 2021] for Season / Episode:[S05E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:35.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 6th Season] for Season / Episode:[S06E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:37.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 5th Season 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:39.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S6 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:41.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 5th Season] for Season / Episode:[S05E11], Offset: 0, Limit: 100, Categories: [5070]
