2025-12-10 13:21:18.6|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[79349] TVRageId:[7926] TvMazeId:[161] for Season / Episode:[S06], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-12-10 13:21:18.7|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[79349] TVRageId:[7926] TvMazeId:[161] for Season / Episode:[S06], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-10 13:21:20.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[79349] TVRageId:[7926] TvMazeId:[161] for Season / Episode:[S06], Offset: 100, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-12-10 13:21:20.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[79349] TVRageId:[7926] TvMazeId:[161] for Season / Episode:[S06], Offset: 100, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-10 13:21:20.4|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=79349&tvmazeid=161&rid=7926&season=6&limit=100&offset=100
2025-12-10 13:21:20.4|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=79349&tvmazeid=161&rid=7926&season=6&limit=100&offset=100
2025-12-10 13:21:20.6|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[79349] TVRageId:[7926] TvMazeId:[161] for Season / Episode:[S06], Offset: 100, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-12-10 13:21:20.7|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[79349] TVRageId:[7926] TvMazeId:[161] for Season / Episode:[S06], Offset: 100, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-10 13:21:22.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[79349] TVRageId:[7926] TvMazeId:[161] for Season / Episode:[S06], Offset: 200, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-10 13:21:22.4|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=79349&tvmazeid=161&rid=7926&season=6&limit=100&offset=200
2025-12-10 13:21:22.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[79349] TVRageId:[7926] TvMazeId:[161] for Season / Episode:[S06], Offset: 200, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
