2025-11-15 10:13:37.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:13:39.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:13:39.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Smiling Friends] for Season / Episode:[S01E05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:13:41.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:13:42.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:13:43.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Smiling Friends] for Season / Episode:[S01E04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:13:45.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:13:46.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E07], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:13:47.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E07], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:13:48.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E08], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
