2025-10-26 22:44:55.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 200, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:44:55.2|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=3&limit=100&offset=200
2025-10-26 22:44:55.5|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 200, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:44:56.7|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05E16], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:44:56.7|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=5&ep=16&limit=100&offset=0
2025-10-26 22:44:56.8|Debug|ReleaseSearchService|Total of 45 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05E16], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-10-26 22:44:57.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 300, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:44:57.2|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=3&limit=100&offset=300
2025-10-26 22:44:57.5|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 300, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:44:59.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05E16], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:44:59.2|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=5&ep=16&limit=100&offset=0
2025-10-26 22:44:59.4|Debug|ReleaseSearchService|Total of 59 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05E16], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:01.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 400, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:01.2|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=3&limit=100&offset=400
2025-10-26 22:45:01.5|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 400, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:03.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:03.2|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=3&limit=100&offset=500
2025-10-26 22:45:03.5|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:05.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 600, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:05.2|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=3&limit=100&offset=600
2025-10-26 22:45:05.6|Debug|ReleaseSearchService|Total of 32 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 600, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:12.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:12.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:45:12.8|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=0
2025-10-26 22:45:12.8|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=0
2025-10-26 22:45:13.0|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-10-26 22:45:13.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:14.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 100, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:14.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 100, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:45:14.8|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=100
2025-10-26 22:45:14.8|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=100
2025-10-26 22:45:15.0|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 100, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-10-26 22:45:15.0|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 100, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:16.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 200, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:16.8|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=200
2025-10-26 22:45:16.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 200, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:45:16.8|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=200
2025-10-26 22:45:17.0|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 200, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-10-26 22:45:17.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 200, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:18.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 300, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:45:18.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 300, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:18.8|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=300
2025-10-26 22:45:18.8|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=300
2025-10-26 22:45:19.0|Debug|ReleaseSearchService|Total of 99 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 300, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-10-26 22:45:19.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 300, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:20.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 400, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:20.8|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=400
2025-10-26 22:45:21.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 400, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:22.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:22.8|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=500
2025-10-26 22:45:23.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:24.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 600, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:24.8|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=4&limit=100&offset=600
2025-10-26 22:45:25.0|Debug|ReleaseSearchService|Total of 64 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S04], Offset: 600, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:33.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:33.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:45:33.1|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=5&limit=100&offset=0
2025-10-26 22:45:33.1|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=5&limit=100&offset=0
2025-10-26 22:45:33.2|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-10-26 22:45:33.3|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:35.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 100, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:45:35.1|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=5&limit=100&offset=100
2025-10-26 22:45:35.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 100, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:45:35.1|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=5&limit=100&offset=100
2025-10-26 22:45:35.2|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 100, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-10-26 22:45:35.3|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 100, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:45:37.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 200, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:45:37.1|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=5&limit=100&offset=200
2025-10-26 22:45:37.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S05], Offset: 200, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
