2025-11-06 01:26:24.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-11-06 01:26:24.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [My Hero Academia S3 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:26.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 04], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:26.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [My Hero Academia S3] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:28.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academy S4] for Season / Episode:[S04E24], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:28.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [My Hero Academia 3rd Season 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:30.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-11-06 01:26:30.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [My Hero Academia 3rd Season] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:32.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 04], Offset: 100, Limit: 100, Categories: [5070]
2025-11-06 01:26:32.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [My Hero Academy S3 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:34.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S4 24], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:34.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [My Hero Academy S3] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:36.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-11-06 01:26:36.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Boku no Hero Academia S3 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:38.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 04], Offset: 200, Limit: 100, Categories: [5070]
2025-11-06 01:26:38.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Boku no Hero Academia S3] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:40.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 400, Limit: 100, Categories: [5070]
2025-11-06 01:26:40.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Boku no Hero Academia 3rd Season 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:42.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S4] for Season / Episode:[S04E24], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:42.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Boku no Hero Academia 3rd Season] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:44.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 04], Offset: 300, Limit: 100, Categories: [5070]
2025-11-06 01:26:44.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [My Hero Academia 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:46.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 500, Limit: 100, Categories: [5070]
2025-11-06 01:26:46.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [My Hero Academia] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:48.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 4th Season 24], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:50.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 04], Offset: 400, Limit: 100, Categories: [5070]
2025-11-06 01:26:52.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 600, Limit: 100, Categories: [5070]
2025-11-06 01:26:54.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 4th Season] for Season / Episode:[S04E24], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:56.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 01:26:58.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 04], Offset: 500, Limit: 100, Categories: [5070]
