2025-11-08 05:14:53.2|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2023 01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:14:53.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [01] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 600, Limit: 100, Categories: [5070]
2025-11-08 05:14:55.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [01] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 700, Limit: 100, Categories: [5070]
2025-11-08 05:14:55.2|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2023] for Season / Episode:[S02E01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:14:57.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [01] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 800, Limit: 100, Categories: [5070]
2025-11-08 05:14:57.2|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:14:59.2|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen] for Season / Episode:[S02E01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:14:59.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[S02E01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:01.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season 01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:03.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02E01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:05.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2 01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:08.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02E01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:10.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2023 01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:12.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2023] for Season / Episode:[S02E01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:14.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:16.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 100, Limit: 100, Categories: [5070]
2025-11-08 05:15:18.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 200, Limit: 100, Categories: [5070]
2025-11-08 05:15:20.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 300, Limit: 100, Categories: [5070]
2025-11-08 05:15:22.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 400, Limit: 100, Categories: [5070]
2025-11-08 05:15:24.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 500, Limit: 100, Categories: [5070]
2025-11-08 05:15:26.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 600, Limit: 100, Categories: [5070]
2025-11-08 05:15:28.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 700, Limit: 100, Categories: [5070]
2025-11-08 05:15:30.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 800, Limit: 100, Categories: [5070]
2025-11-08 05:15:32.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 01], Offset: 900, Limit: 100, Categories: [5070]
2025-11-08 05:15:34.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02E01], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:58.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:15:58.5|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
